requirement_id,domain,lot,priority,requirement,acceptance_criterion,test_ids,status,implementation_reference,evidence_reference
R-063,Communication,L9,P2,Preparer des contenus conformes au brief,"Source, date, cible et statut brouillon/publication sont visibles",T-044,planned,,
R-064,Medias,L9,P3,Tracer une production et ses ressources,"Manifest des sources, droits references, outils et couts accompagne le livrable",T-043,planned,,
R-065,Formation,L9,P2,Transformer le savoir faire en support,Procedure et exercice sont reproductibles et expurges des donnees client,T-045,planned,,
R-066,Extensions,L9,P2,Garder la meme qualite de collaboration par metier,"Chaque nouvelle activite a une mission, un mandat et une preuve",T-059,planned,,
R-067,Autonomie,L1,P0,Reutiliser les mandats existants,Une routine autorisee ne requiert pas une confirmation repetee sans motif,T-051,planned,,
R-068,Autonomie,L1,P0,Revoquer une delegation,La revocation et les limites prennent effet avant la prochaine mutation,T-051,planned,,
R-069,Donnees,L1,P0,Deriver l identite au serveur,Aucun champ choisi par le modele n accorde des droits,T-053,planned,,
R-070,Donnees,L1,P0,Valider chaque contrat,Enveloppe et arguments de capacite sont valides avant execution,T-053,planned,,
R-071,Secrets,L8,P0,Utiliser des references de coffre,Secrets absents du depot et des traces; rotation et revocation testees,T-049,planned,,
R-072,Budget,L8,P1,Suivre les couts par mission,"IA, voix et services distinguent estimation, mesure et facture",T-046,planned,,
R-073,Budget,L8,P1,Limiter les boucles et depassements,Un plafond applicable arrete ou reroute la mission avec etat explicite,T-046,planned,,
R-074,Valeur,L8,P1,Mesurer le temps humain economise,"Briefing rapproche temps actif, reprises et couts sans promesse de ROI",T-046;T-055,planned,,
R-075,Exploitation,L8,P1,Surveiller les services utiles,Alertes contextualisees et reprise observable,T-047,planned,,
R-076,Continuite,L8,P0,Restaurer une instance independante,"Memoire, missions et sources sont coherentes apres restauration",T-048,planned,,
R-077,Continuite,L8,P1,Mesurer RPO et RTO,Objectifs proposes compares aux mesures de restauration,T-048,planned,,
R-078,Exploitation,L8,P1,Gerer les dependances degradees,"PC, NAS et API absents ont un etat comprehensible et une reprise sure",T-054,planned,,
R-079,Pilotage,L8,P1,Fournir une vue quotidienne transversale,"Priorites, rendez-vous, code, comptabilite et blocages restent relies aux preuves",T-055,planned,,
R-080,Recette,L8,P0,Verifier la chaine de demande de site,"Une demande fictive traverse qualification, agenda, devis et preview",T-056,planned,,
R-081,Recette,L8,P0,Verifier la chaine de terrain,"Incident, diagnostic, intervention et compte rendu sont relies",T-057,planned,,
R-082,Recette,L8,P0,Verifier la continuite de connaissance,Une decision corrigee est reprise dans une nouvelle session avec bons droits,T-058,planned,,
R-083,Recette,L8,P0,Distinguer non execute et reussi,"Chaque test possede environnement, observe, verdict et preuve",T-003;T-056;T-057;T-058,planned,,
R-084,Documentation,L0,P1,Versionner sources et decisions,"Chaque choix structurant a un motif, une reference et une condition de revision",T-003;T-059,planned,,
